address,baths,beds,cars,link,price,solddate,type
"23 Dunore Road, Crossdale",,,,/sold/property-residential+land-qld-crossdale-201269813,"$150,000",02 Mar 2017,residential land
"Lot 4 Crossdale Road, Crossdale",,,,/sold/property-residential+land-qld-crossdale-200861175,"$180,000",01 Aug 2016,residential land
"212 Woodgate Road, Crossdale", 2, 3, 4,/sold/property-lifestyle-qld-crossdale-7736671,"$480,000",16 Sep 2015,lifestyle
"391 Crossdale Road, Crossdale", 1, 3, 2,/sold/property-house-qld-crossdale-118073567,"$307,000",09 Jul 2015,house
"3143 Wivenhoe Somerset Road, Crossdale",,,,/sold/property-residential+land-qld-crossdale-200147171,"$302,927",26 Aug 2013,residential land
"53 Coogan Road, Crossdale", 1, 2, 4,/sold/property-livestock-qld-crossdale-7438365,"$550,000",14 Sep 2012,livestock
"168 McKeys Road, Crossdale", 1, 2, 2,/sold/property-lifestyle-qld-crossdale-7328441,"$535,000",18 Jun 2012,lifestyle
"Address available on request, Crossdale", 1, 2, 0,/sold/property-house-qld-crossdale-105563086,"$170,000",07 May 2009,house
"188 Mckey rd, Crossdale", 1, 2, 6,/sold/property-acreage+semi-rural-qld-crossdale-110306901,<img class=""property-price__image"" src=""https://text-to-image.realestate.com.au/convert/JDIyNSwwMDA=?font-family=MuseoSans-500&amp;font-weight=normal&amp;color=333f48&amp;font-size=32&amp;left=0&amp;top=0"" data-reactid=""386"">,18 May 2012,acreage/semi-rural
"299 Tooloorum Road, Bryden",,,,/sold/property-residential+land-qld-bryden-201313454,"$245,000",17 Apr 2017,residential land
"4 Guldbransen Street, Somerset Dam", 1, 1, 1,/sold/property-lifestyle-qld-somerset+dam-7787198,"$170,000",22 Mar 2017,lifestyle
"29 Fifth Avenue, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-200367639,"$110,000",08 Feb 2017,residential land
"Lot 9  Oakland Park Dve, Hazeldean",,,,/sold/property-residential+land-qld-hazeldean-201662778,"$245,000",03 Feb 2017,residential land
"400 Mount Beppo Road, Mount Beppo", 1, 5, 6,/sold/property-house-qld-mount+beppo-124308802,"$380,000",25 Jan 2017,house
"3929-3931 Esk Kilcoy Road, Hazeldean", 5, 8, 14,/sold/property-house-qld-hazeldean-123784110,"$650,000",23 Jan 2017,house
"30 Ezra Dr, Hazeldean", 2, 3, 0,/sold/property-house-qld-hazeldean-123058694,"$540,000",23 Jan 2017,house
"3 Guldbransen Street, Somerset Dam", 2, 3, 1,/sold/property-house-qld-somerset+dam-124654942,"$360,000",23 Jan 2017,house
"6/7 Gully street, Somerset Dam", 2, 4, 6,/sold/property-house-qld-somerset+dam-123710994,"$450,000",17 Dec 2016,house
"10 Gauldbransen st, Somerset Dam", 2, 3, 3,/sold/property-house-qld-somerset+dam-123129858,"$365,000",12 Dec 2016,house
"4049 Esk Kilcoy Road, Hazeldean", 3, 5, 3,/sold/property-livestock-qld-hazeldean-7852678,"$1,100,000",09 Dec 2016,livestock
"67 Kookaburra Cresent, Hazeldean", 2, 4, 3,/sold/property-house-qld-hazeldean-117151215,"$525,000",25 Nov 2016,house
"20-22 King Street, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-201159251,"$120,000",22 Nov 2016,residential land
"5 First ave, Somerset Dam", 1, 4, 0,/sold/property-house-qld-somerset+dam-123684354,"$410,000",18 Nov 2016,house
"22 George Street, Somerset Dam", 2, 3, 2,/sold/property-lifestyle-qld-somerset+dam-7844478,"$373,000",16 Nov 2016,lifestyle
"38 Main Street, Somerset Dam", 1, 3, 1,/sold/property-lifestyle-qld-somerset+dam-7845046,"$165,000",09 Nov 2016,lifestyle
"222 Cooeeimbardi Road, Somerset Dam",,,,/sold/property-mixed+farming-qld-somerset+dam-7842562,"$730,000",21 Sep 2016,mixed farming
"54 Redmond Rd, Bryden", 2, 3, 3,/sold/property-house-qld-bryden-123439406,"$788,000",16 Sep 2016,house
"Wivenhoe - Somerset Road, Bryden",,,,/sold/property-livestock-qld-bryden-7765889,"$1,400,000",16 Mar 2016,livestock
"1240 Mt. Beppo Road, Caboonbah", 2, 4, 0,/sold/property-lifestyle-qld-caboonbah-7651743,"$1,060,000",15 Mar 2016,lifestyle
"22 Kookaburra Cres, Hazeldean", 2, 5, 2,/sold/property-acreage+semi-rural-qld-hazeldean-121604198,"$390,000",04 Mar 2016,acreage/semi-rural
"546 Mount Beppo Road, Mount Beppo", 1, 3, 4,/sold/property-livestock-qld-mount+beppo-7776334,"$505,000",08 Dec 2015,livestock
"560 Old Mount Beppo Rd, Mount Beppo", 1, 2, 0,/sold/property-lifestyle-qld-mount+beppo-7742505,"$306,000",03 Dec 2015,lifestyle
"9 King Street, Somerset Dam", 2, 4, 6,/sold/property-house-qld-somerset+dam-121084662,"$352,500",26 Nov 2015,house
"5 Fourth Avenue, Somerset Dam", 2, 4, 2,/sold/property-house-qld-somerset+dam-119860633,"$395,000",28 Oct 2015,house
"28 King Street, Somerset Dam", 2, 4, 2,/sold/property-house-qld-somerset+dam-117209539,"$350,000",25 Oct 2015,house
