address,baths,beds,cars,link,price,solddate,type
"5 Strathaird Close, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-124989122,"$668,000",08 Apr 2017,house
"27 Fairview Crescent, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124961202,"$730,000",06 Apr 2017,house
"13 Haven Lane, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-125005466,"$576,500",04 Apr 2017,house
"14 Juane Park Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-102932197,"$911,000",01 Apr 2017,house
"25 Patyah Street, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-125030442,"$730,000",29 Mar 2017,house
"20 Fraser Street, Diamond Creek", 1, 3, 0,/sold/property-house-vic-diamond+creek-124981914,"$542,000",29 Mar 2017,house
"50 Ironbark Road, Diamond Creek", 2, 4, 10,/sold/property-house-vic-diamond+creek-122909354,"$915,000",07 Apr 2017,house
"Lot 51, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201784926,"$399,000",07 Apr 2017,residential land
"Lot 8 2a Norma Street, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201627050,"$352,500",06 Apr 2017,residential land
"1 Glenview Close, Diamond Creek", 2, 5, 2,/sold/property-house-vic-diamond+creek-124688286,"$870,000",04 Apr 2017,house
"413 Ryans Road, Diamond Creek", 2, 3, 1,/sold/property-house-vic-diamond+creek-124891674,"$665,000",04 Apr 2017,house
"Lot 52, 30-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201776990,"$399,000",04 Apr 2017,residential land
"Lot 54, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201728918,"$425,000",29 Mar 2017,residential land
"15 The Parkway, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124902314,"$745,000",28 Mar 2017,house
