address,auctiondate,baths,beds,cars,link,openhouse,price
"83 Casuarina Way, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-125326134,,"$475,000"
"149 Konkerberry Drive, Kununurra, WA 6743",,2,2,2,/property-duplex+semi+detached-wa-kununurra-114414703,,"$420,000 REDUCED!"
"7 Cajuput Street, Kununurra, WA 6743",,2,5,,/property-unit-wa-kununurra-123667238,,"$490,000"
"12 Salacca Loop, Kununurra, WA 6743",,2,1,,/property-other-wa-kununurra-123283642,,"$759,000 + GST if app"
"Lot 1533 Poincettia Way, Kununurra, WA 6743",,1,5,3,/property-warehouse-wa-kununurra-125246130,,"$750,000"
"25/1 Erythrina Street, Kununurra, WA 6743",,1,2,2,/property-unit-wa-kununurra-120618937,,"$350,000"
"50 Riverfig Avenue, Kununurra, WA 6743",,1,3,,/property-house-wa-kununurra-116123363,,"$375,000"
"5 Carbeen Street, Kununurra, WA 6743",,1,3,1,/property-house-wa-kununurra-125316242,,"$350,000"
"18 Celtis Street, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-125263350,,"$480,000"
"3 Silverbox Avenue, Kununurra, WA 6743",,2,3,6,/property-house-wa-kununurra-125224046,,"$390,000"
"12 BOOBIALLA WAY, Kununurra, WA 6743",,2,5,1,/property-house-wa-kununurra-125213542,,"$550,000"
"17 Nutwood Crescent, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-125180586,,"$379,000"
"15 Eucalyptus Close, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-125176950,,"$520,000"
"4/13 Erythrina Street, Kununurra, WA 6743",,1,2,1,/property-unit-wa-kununurra-125170286,,"$299,000"
"22 Flametree Street, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-125130830,,"$299,000"
"3 Koolparn Court, Kununurra, WA 6743",,1,3,1,/property-house-wa-kununurra-125129854,,"Offers From $270,000"
"73 Hibiscus Drive, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201766094,,"$476,500"
"7 Casuarina Way, Kununurra, WA 6743",,1,3,4,/property-house-wa-kununurra-125088174,,"$335,000"
"9b Plum Court, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-125085478,,"$299,000"
"10 Casuarina Way, Kununurra, WA 6743",,2,4,4,/property-house-wa-kununurra-125059418,,"Offers From $359,000"
"6 Gardenia Drive, Kununurra, WA 6743",,2,4,4,/property-house-wa-kununurra-125031978,,"$499,000"
"42 Barringtonia Avenue, Kununurra, WA 6743",,1,3,1,/property-house-wa-kununurra-125021854,,"$279,000"
"44 Hibiscus Drive, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-125021182,,"$489,000"
"Lot 50 Harrier Close, Kununurra, WA 6743",,2,4,1,/property-house-wa-kununurra-125011470,,"$849,000"
"19 Casuarina Way, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-124951182,Thu 4 May,"$280,000"
"6/32 River Fig Avenue, Kununurra, WA 6743",,1,2,1,/property-unit-wa-kununurra-124944398,,"$210,000"
"647 Crossing Falls Road, Kununurra, WA 6743",,,,,/property-other-wa-kununurra-7885358,,"$380,000 to $399,000"
"600 Riverfarm Road, Kununurra, WA 6743",,3,6,4,/property-house-wa-kununurra-124838190,,"$1,700,000"
"582, Packsaddle Road, Kununurra, WA 6743",,,,,/property-other-wa-kununurra-7882046,,"$700,000"
"10 Hibiscus Drive, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-124792354,,"$370,000 - $390,000"
"4 Nauclea Way, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-124791126,Thu 4 May,"$379,000"
"3 Palm Court, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-124765918,,"$399,000"
"3 Casuarina Way, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-124678798,,"$430,000"
"90 Casuarina Way, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-124677762,,"$450,000"
"107 Berkeley Crescent, Kununurra, WA 6743",,2,1,,/property-lifestyle-wa-kununurra-7878674,,"From $400,000"
"22 Riverfarm Road, Kununurra, WA 6743",,3,6,2,/property-house-wa-kununurra-124666982,,"$1,350,000"
"7 Woollybutt Place, Kununurra, WA 6743",,1,4,1,/property-house-wa-kununurra-124666302,,"$325,000"
"22 Ironwood Drive, Kununurra, WA 6743",,1,3,1,/property-house-wa-kununurra-124666154,,SOLD
"18 Poinciana Street, Kununurra, WA 6743",,1,3,8,/property-house-wa-kununurra-124588490,,"$949,000"
"18 Casuarina Way, Kununurra, WA 6743",,1,3,3,/property-house-wa-kununurra-124587362,,"$240,000"
"4 Palm Court, Kununurra, WA 6743",,1,3,1,/property-house-wa-kununurra-117506207,,"$265,000"
"1 & 2/9 Silverbox Avenue, Kununurra, WA 6743",,2,2,2,/property-villa-wa-kununurra-124405414,,"$219,950"
"3/9 Silverbox Avenue, Kununurra, WA 6743",,2,2,2,/property-villa-wa-kununurra-124405418,,"$219,950"
"107 Berkeley Crescent, Kununurra, WA 6743",,2,1,,/property-acreage+semi+rural-wa-kununurra-124385386,,"From $400,000"
"43B Weaber Plain Road, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-124371074,,"$294,000"
"214 Coolibah Drive, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201681310,,Expressions of Interest
"19/33 Konkerberry Drive, Kununurra, WA 6743",,1,2,1,/property-house-wa-kununurra-124354578,,"$295,000"
"8 Carbeen Street, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-124293066,,"$329,000"
"Kununurra, address available on request",,2,4,,/property-house-wa-kununurra-124165406,,"$429,000"
"8 Collina Way, Kununurra, WA 6743",,2,2,2,/property-house-wa-kununurra-124164766,,"$389,000"
"8A Plum Court, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-124147222,,"$280,000"
"30 Ironwood Drive, Kununurra, WA 6743",,1,3,1,/property-house-wa-kununurra-124074798,,"$299,000"
"16 Calytrix Avenue, Kununurra, WA 6743",,1,4,4,/property-house-wa-kununurra-124033594,,"$329,000"
"3 Mistletoe Ave, Kununurra, WA 6743",,2,3,1,/property-house-wa-kununurra-123992766,,"$380,000 - $418,000"
"23 Nutwood Crescent, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-122067250,,"$299,000"
"4 Acacia Crt, Kununurra, WA 6743",,1,4,,/property-house-wa-kununurra-123974186,,"$259,000"
"5/30 Livistona Street, Kununurra, WA 6743",,2,2,2,/property-apartment-wa-kununurra-123827318,,"$365,000"
"4/7 Greybox Crescent, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-123757910,,"$370,000"
"208 Chamberlain Drive, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201439454,,"$275,000"
"10 Kurrajong Street, Kununurra, WA 6743",,2,3,3,/property-house-wa-kununurra-123646238,,"$299,000"
"12 Quondong Street, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-123641730,,"$675,000"
"7 Eugenia Street, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-123619106,,"$419,000"
Lot 427 Cnr Livistona Street & Templetonia...,,,,,/property-residential+land-wa-kununurra-201598870,,"$135,000"
"Lot 426 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598862,,"$140,000"
"Lot 425 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598846,,"$140,000"
Lot 418 Cnr Livistona Street & Argentea...,,,,,/property-residential+land-wa-kununurra-201598830,,"$147,500"
"Lot 417 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598362,,"$145,000"
"Lot 416 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598346,,"$145,000"
"Lot 415 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598342,,"$145,000"
Lot 413 Cnr Livistona Street & Phoenicea Link...,,,,,/property-residential+land-wa-kununurra-201598314,,"$145,000"
"Lot 350 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597450,,"$186,000"
"Lot 349 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597442,,"$186,000"
"Lot 344 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597434,,"$164,000"
