address,baths,beds,cars,link,price,solddate,type
"20 Pfeiffer Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-124765314,"$587,500",10 Apr 2017,house
"1 Zeppo Place, McDowall", 3, 4, 6,/sold/property-house-qld-mcdowall-124779474,"$741,000",03 Apr 2017,house
"14/195 Old Northern Road, McDowall", 1, 3, 1,/sold/property-unit-qld-mcdowall-124677082,"$415,500",17 Mar 2017,unit
"12/95 Beckett Road, McDowall", 2, 2, 1,/sold/property-apartment-qld-mcdowall-124158958,"$303,000",16 Mar 2017,apartment
"40 Minnelli Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-124259454,"$563,000",15 Mar 2017,house
"12 Van Dyke Cres, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-124191926,"$585,000",10 Mar 2017,house
"25 Nicholas st, McDowall", 3, 4, 3,/sold/property-house-qld-mcdowall-124458766,"$805,000",07 Mar 2017,house
"50 Keona Road, McDowall",,,,/sold/property-residential+land-qld-mcdowall-201546846,"$460,000",28 Feb 2017,residential land
"1 Sarandon Close, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-124505170,"$630,000",22 Feb 2017,house
"20 Lazenby Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-124187346,"$645,000",21 Feb 2017,house
"25 Redford Crescent, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-122910170,"$686,500",10 Feb 2017,house
"51 Gleason st, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-124136986,"$607,000",09 Feb 2017,house
"941 Rode Road, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-124195206,"$461,000",06 Feb 2017,house
"23/95 Beckett Road, McDowall", 2, 2, 1,/sold/property-unit-qld-mcdowall-124338702,"$362,500",03 Feb 2017,unit
"21 Belafonte Street, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-124449894,"$583,000",28 Jan 2017,house
"11 Harlow Place, McDowall", 3, 6, 2,/sold/property-house-qld-mcdowall-124593930,"$1,080,700",27 Jan 2017,house
"20 Tranquil Place, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-124237054,"$655,000",15 Jan 2017,house
"14/216 Trouts Road, McDowall", 2, 3, 1,/sold/property-townhouse-qld-mcdowall-124108622,"$400,000",13 Jan 2017,townhouse
"34 Brynner Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123953342,"$575,000",12 Jan 2017,house
"28 Tranquil Pl, McDowall",,,,/sold/property-residential+land-qld-mcdowall-201316610,"$364,000",11 Jan 2017,residential land
"11 Redford Crescent, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123920042,"$681,000",09 Jan 2017,house
"32 Landis Street, McDowall", 2, 3, 1,/sold/property-house-qld-mcdowall-124260006,"$506,000",06 Jan 2017,house
"876 Rode Rd, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-124108730,"$420,000",06 Jan 2017,house
"4 Kingfisher Close, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-123756298,"$835,000",05 Jan 2017,house
"70 Sinatra Cres, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-124130458,"$522,000",03 Jan 2017,house
"15 Hackman St, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123920686,"$625,000",29 Dec 2016,house
"6 Landon Close, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-124063426,"$695,000",19 Dec 2016,house
"9 Landon Close, McDowall", 4, 7, 2,/sold/property-house-qld-mcdowall-123738570,"$1,209,000",16 Dec 2016,house
"16 Hoskins Close, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-123799614,"$785,000",16 Dec 2016,house
"8 Monroe Place, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-123799478,"$781,000",16 Dec 2016,house
"49 Hackman Street, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-123290830,"$703,000",15 Dec 2016,house
"52 Streisand Drive, McDowall", 2, 4, 3,/sold/property-house-qld-mcdowall-123935426,"$760,250",12 Dec 2016,house
"40 Van Dyke Crescent, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-123896022,"$745,000",07 Dec 2016,house
"4 Macnee Street, McDowall", 2, 3, 3,/sold/property-house-qld-mcdowall-123993094,"$665,000",07 Dec 2016,house
"9 Ustinov Crescent, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-124107846,"$590,000",06 Dec 2016,house
"1 Britt Place, McDowall", 1, 3, 1,/sold/property-house-qld-mcdowall-123903890,"$518,000",05 Dec 2016,house
"995 Rode Road, McDowall", 1, 3, 4,/sold/property-house-qld-mcdowall-123626214,"$500,000",05 Dec 2016,house
"22 Van Dyke Crescent, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-123570898,"$715,000",29 Nov 2016,house
"18 Nicholas Street, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-123770838,"$670,000",29 Nov 2016,house
"11 Ifield Street, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-123930222,"$520,000",29 Nov 2016,house
"13/28 Keona Road, McDowall", 2, 3, 1,/sold/property-townhouse-qld-mcdowall-123828082,"$405,000",29 Nov 2016,townhouse
"7 Marx Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123808126,"$610,000",28 Nov 2016,house
"48  Keona Road, McDowall", 3, 4, 5,/sold/property-house-qld-mcdowall-122812466,"$875,000",22 Nov 2016,house
"2/95 Beckett Road, McDowall", 2, 2, 1,/sold/property-unit-qld-mcdowall-123270102,"$365,000",21 Nov 2016,unit
"4/91 Beckett Road, McDowall", 2, 2, 1,/sold/property-unit-qld-mcdowall-123145662,"$354,000",19 Nov 2016,unit
"Address available on request, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-123327426,"$775,000",18 Nov 2016,house
"12 Hoskins Close, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-123170426,"$669,000",18 Nov 2016,house
"Lot 10/73 Landis Street, McDowall",,,,/sold/property-residential+land-qld-mcdowall-201388030,"$375,000",14 Nov 2016,residential land
"25 Paramount Circuit, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123807702,"$655,000",07 Nov 2016,house
"2 Leanne Close, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123596934,"$658,000",04 Nov 2016,house
"20 Wyngarde Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123362626,"$560,000",03 Nov 2016,house
"12 Evergreen Place, McDowall", 3, 4, 3,/sold/property-house-qld-mcdowall-123345534,"$925,000",31 Oct 2016,house
"1 Pfeiffer Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123427470,"$615,000",31 Oct 2016,house
"8 Marx Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123629530,"$620,000",27 Oct 2016,house
"11 Walpole St, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-123196690,"$585,000",27 Oct 2016,house
"3 Eastwood Place, McDowall", 3, 4, 4,/sold/property-house-qld-mcdowall-123524530,"$645,000",24 Oct 2016,house
"3 Sarandon Close, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-123569922,"$660,000",22 Oct 2016,house
"7 Sharif Street, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-123006546,"$675,000",21 Oct 2016,house
"12/195 Old Northern Rd, McDowall", 1, 3, 1,/sold/property-villa-qld-mcdowall-123239586,"$344,000",20 Oct 2016,villa
"2 Wyngarde St, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123468506,"$487,000",17 Oct 2016,house
"2 Ekland Court, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123685574,"$629,000",14 Oct 2016,house
